home_hitting_runs,home_hitting_homeRuns,home_hitting_avg,home_hitting_obp,home_hitting_slg,home_hitting_ops,home_hitting_strikeOuts,home_hitting_stolenBases,home_pitching_era,home_pitching_whip,home_pitching_strikeoutsPer9Inn,home_pitching_walksPer9Inn,home_pitching_hitsPer9Inn,home_pitching_homeRunsPer9,home_fielding_fielding,home_fielding_errors,home_leader_home_runs,home_leader_rbi,home_leader_batting_average,home_leader_era,home_leader_strikeouts,home_leader_pitcher_wins,away_hitting_runs,away_hitting_homeRuns,away_hitting_avg,away_hitting_obp,away_hitting_slg,away_hitting_ops,away_hitting_strikeOuts,away_hitting_stolenBases,away_pitching_era,away_pitching_whip,away_pitching_strikeoutsPer9Inn,away_pitching_walksPer9Inn,away_pitching_hitsPer9Inn,away_pitching_homeRunsPer9,away_fielding_fielding,away_fielding_errors,away_leader_home_runs,away_leader_rbi,away_leader_batting_average,away_leader_era,away_leader_strikeouts,away_leader_pitcher_wins,home_win
820,210,0.271,0.339,0.445,0.784,1320,110,3.72,1.18,9.3,2.7,7.8,1.0,0.987,72,39,108,0.311,2.98,224,18,690,175,0.248,0.317,0.401,0.718,1475,86,4.41,1.31,8.5,3.2,8.8,1.3,0.984,91,31,92,0.284,3.61,181,13,1
760,188,0.258,0.329,0.427,0.756,1390,98,3.95,1.24,8.9,2.9,8.1,1.1,0.986,79,34,97,0.297,3.15,205,16,805,222,0.268,0.341,0.452,0.793,1298,115,3.66,1.16,9.6,2.5,7.5,0.9,0.988,63,42,115,0.318,2.87,236,19,0
845,230,0.274,0.348,0.461,0.809,1275,121,3.58,1.14,9.7,2.4,7.3,0.8,0.989,58,44,119,0.322,2.74,241,20,730,181,0.251,0.321,0.409,0.730,1442,77,4.28,1.29,8.3,3.1,8.6,1.2,0.983,95,29,88,0.279,3.84,176,12,1
701,168,0.247,0.314,0.396,0.710,1518,74,4.52,1.35,8.1,3.4,9.0,1.4,0.982,102,27,81,0.276,4.08,168,11,772,196,0.262,0.334,0.438,0.772,1332,105,3.88,1.21,9.1,2.8,7.9,1.0,0.987,68,36,103,0.301,3.22,212,17,0
812,214,0.269,0.342,0.451,0.793,1308,117,3.69,1.17,9.4,2.6,7.7,0.9,0.988,61,41,111,0.315,3.01,228,18,748,185,0.255,0.326,0.419,0.745,1411,88,4.12,1.27,8.7,3.0,8.4,1.2,0.985,83,33,95,0.289,3.56,189,14,1
689,171,0.244,0.309,0.392,0.701,1531,69,4.61,1.37,7.9,3.5,9.2,1.5,0.981,108,26,79,0.271,4.19,162,10,798,205,0.265,0.336,0.446,0.782,1310,112,3.79,1.20,9.2,2.7,7.8,1.0,0.987,66,38,107,0.308,3.09,219,16,0
835,225,0.272,0.345,0.457,0.802,1288,119,3.63,1.15,9.5,2.5,7.5,0.9,0.989,57,43,116,0.319,2.81,238,19,776,191,0.259,0.331,0.432,0.763,1368,94,3.91,1.23,8.8,2.8,8.0,1.1,0.986,74,35,100,0.299,3.28,207,15,1
715,179,0.249,0.319,0.404,0.723,1486,82,4.33,1.30,8.4,3.2,8.7,1.3,0.984,89,30,90,0.286,3.72,183,13,808,219,0.267,0.339,0.449,0.788,1302,118,3.71,1.18,9.3,2.6,7.7,0.9,0.988,62,40,112,0.314,2.95,231,18,0
824,218,0.270,0.343,0.453,0.796,1297,114,3.67,1.16,9.4,2.6,7.6,0.9,0.988,60,42,113,0.317,2.99,229,18,742,183,0.254,0.324,0.416,0.740,1425,89,4.08,1.26,8.6,3.0,8.3,1.2,0.985,82,32,94,0.291,3.49,193,14,1
700,170,0.246,0.312,0.395,0.707,1524,72,4.57,1.36,8.0,3.4,9.1,1.4,0.982,101,27,80,0.275,4.11,165,11,790,203,0.264,0.335,0.444,0.779,1320,110,3.82,1.21,9.1,2.7,7.9,1.0,0.987,67,37,105,0.306,3.14,216,17,0
840,228,0.273,0.347,0.460,0.807,1279,123,3.60,1.14,9.6,2.4,7.4,0.8,0.989,56,44,118,0.321,2.76,240,20,765,189,0.257,0.328,0.425,0.753,1388,93,3.97,1.24,8.8,2.9,8.1,1.1,0.986,76,34,98,0.295,3.34,201,15,1
708,176,0.248,0.316,0.401,0.717,1494,79,4.38,1.32,8.3,3.3,8.8,1.3,0.983,94,29,87,0.283,3.86,179,12,814,221,0.269,0.340,0.451,0.791,1299,116,3.68,1.17,9.4,2.6,7.6,0.9,0.988,64,41,114,0.316,2.92,233,18,0
